"ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3f18ad32c7cf9a9bfcfc495da28a83e8",12.8897557011407,-4.49721948062294,0.487708961679568,-9.22111306943276,2.94031929502767e-20,8.18231358572589e-18
"f2198eb653bec43aa8978bd15f829f14",28.7352523562695,-3.32263497316094,0.527791992572932,-6.29534934200771,3.06708324580041e-10,9.71451672955559e-09
"be4a63b27c18395d6ccf9259de182a95",10.2141296274102,-3.27063413719068,0.473709352367745,-6.90430560604947,5.04495885320452e-12,2.89991708895312e-10
"50ddf202ec5e042dc9a3365d7450afb7",61.8230078326099,-6.19285920285328,0.537293925394363,-11.5260175299913,9.75528240898483e-31,7.57009914937223e-28
"7b2ad17f10879d82c7c206e42c4a5f31",6.2630243103451,-3.4283403132482,0.443028836692044,-7.73841346050186,1.00665030935605e-14,1.04154752008039e-12
"2d5bba0721211989f3360e172cf55c53",4.8362724977564,3.0664054308578,0.415445316177605,7.38100855022492,1.57094917122618e-13,1.21905655687152e-11
"a8d1207d541a583e93b9ec01469301c2",46.7494480604521,-3.14881087020872,0.485754540575088,-6.48230867071427,9.03295973925483e-11,3.33789369412464e-09
"b55e2cc03cbc337c6c9863fc7d7128e7",22.5386581884439,-3.17377485527288,0.50200181874336,-6.3222377624401,2.57802294251725e-10,8.3356075141391e-09
"b9c904ecb77bbfe1f9d176c54120ecbb",5.10275155382179,-3.10697499158744,0.449024897916245,-6.91938243515167,4.53616755414067e-12,2.70774309385628e-10
"44c572786becaca747834fab4dc5cd8a",32.7462490093403,-5.902890459693,0.537892999697069,-10.9740979395854,5.09114559172883e-28,2.63381931945438e-25
"ec903f4fc943b2ffa6b0dc5f19ec0efc",8.7636636871521,-3.25038454101468,0.412589327079215,-7.87801411157351,3.32625161492863e-15,5.16234250636923e-13
"932e0c69c9af1affe7a4780e8c9c1772",26.6967546455782,-4.27340744652843,0.492605328264779,-8.67511413565435,4.1313591283042e-18,7.12429929680902e-16
"6a403960cabac26623171326c99f6c36",13.8233493806081,-4.01203756309117,0.443229080970304,-9.05183738013791,1.40582556072656e-19,3.11691610035375e-17
"f08a7b965556dd84f1c9bb8f1e973533",9.15070575166989,-3.39843607901703,0.444555262387885,-7.64457507658928,2.09636464918041e-14,1.80753218640444e-12
"f9283780d796ffcc12a283e56b806087",22.5203807367896,-3.46811881415722,0.50413951289266,-6.87928385985416,6.01541902928085e-12,3.11197677781463e-10
"6080c2303805b7f0be6f409af059ee62",10.2461255200955,-4.1522654105381,0.450682944695269,-9.21327389778567,3.16326556149197e-20,8.18231358572589e-18
"6a9a80c0b955a1700c2a73f792bfb971",5.34240183986565,-3.14882856074871,0.409669668898652,-7.68626237137342,1.51495669708514e-14,1.43183790341555e-12
"e96331d4191c5a32f8d1347fc3d295e2",8.11346499309537,-3.316856505308,0.427566269399196,-7.75752612564307,8.66020424012912e-15,9.60045498620028e-13
"e1fe724b4ea6ca6e7556fd032879f8c8",9.11182585337123,-3.14350332597278,0.409213084027294,-7.68182506540556,1.5683791467825e-14,1.43183790341555e-12
"949d11292146e12904547a6db61ce024",452.684130024863,-3.23998387811886,0.491156123365648,-6.59664763195228,4.20558704937001e-11,1.76407327043845e-09
"2c60a7a1db0e60b336990a8859b47bf1",7.05130839614247,-3.58191406647683,0.456307490405905,-7.84978143420473,4.16762940181425e-15,5.88014621055975e-13
"97351bb5e19f0e3d19bab552b7055653",68.7367665358169,4.05519153792929,0.553651941228654,7.32444201122114,2.39894767185054e-13,1.77293656510097e-11
"f949c3d6392f7d23a7cbdb9e8f7180cd",23.4908008048774,5.63774427096348,0.471967172335877,11.9452042460092,6.87811780837777e-33,1.06748388386023e-29
"5f419820ef82a1593ec6ab27664f7df2",38.4017555971985,-4.87746290923975,0.516436896949387,-9.44445088654802,3.57272644217166e-21,1.38621785956261e-18
"7576f5babda140787035dec92f2cb9f2",9.1827420749477,-4.04571541357404,0.459398036878517,-8.80655790578376,1.29047448960955e-18,2.50352050984252e-16
"76b77cd1d964a78d9301628e3164a3d1",10.4898189896912,-3.13545165105828,0.422252663329794,-7.42553433845219,1.12325521577151e-13,9.17522155198626e-12
"8c2297f07d90de0a6b60701c8ea376cb",5.56659036588247,-3.21371771341233,0.411170100436801,-7.81602969184354,5.45155209279802e-15,7.05067404001877e-13
"8c5c1e33bdd2f244342f2acd6e5db57e",4.54987589174251,3.11809973747119,0.399603742811428,7.80297931028792,6.04624657367884e-15,7.21828821719197e-13
