Feature ID	Taxon	Confidence
f2198eb653bec43aa8978bd15f829f14	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Segatella	0.9998400674965511
e4039171b45b9efa0f0520b44f36da26	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	0.9943953550438396
810e21d02cfe8c0657bc084bca11bee8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999461671319123
8e30a96c25940e7edf3c7cd8a2806217	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella	0.9999993521766124
510343d7578383fbd039b7a4e5bdeb9d	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999999774292591
be668de2e5fa036995de8f788fea35fc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999996930602224
0378c0231e6933fbc72d46dd5f18f452	d__Bacteria; p__Bacillota; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Intestinibacter	0.8655383426811328
a3bdf89fe6fdbc255217fb5669090bcf	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999979303090952
4dc372da98d8784d68b5b4b820ca5ded	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides	0.9999999783094611
3758eb39e2a371a0411f3cd7319e1ee5	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerobutyricum	0.9993840526556372
05b265f240edb508e9e1a3199ae9691c	d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__Erysipelotrichaceae_UCG-003	0.9999998507698504
ca45b5a42c5cb2ae75edf0b1284edd70	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter	0.9326018868482538
b0c42c497f60e9c49043ccbc31ed206b	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	0.9690970251389704
78f53c732794af8a5f57fcd4d0b14c0b	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea	0.9666559136899614
72e6a1e751bd4a76ea74f5f2f22a9a45	Unassigned	0.5727240462656973
0de98fd7abaa49614712ca8bf79b1dfb	d__Bacteria; p__Bacillota; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium	0.9999999397303032
713a149f64bdeb2a0b8eaa55cf29744a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides	0.999791443891254
0b40de082443e51c98a263cafa1b6092	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999989690458714
8956f82471118b496cde41e767601b3b	d__Bacteria; p__Bacillota; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	0.99860664357711
244b5ee5cba29fa6c997b9373d3faa60	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999967580201691
79876f4c69c1267566f1d15a4885566f	d__Bacteria; p__Bacillota; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Megamonas	0.9999999999053273
e92a20c9db93b0cfb47e737fe09ef9eb	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999995931571183
617c2bb71de3ee9e441574766b4c8313	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella	0.9999999949088902
44c572786becaca747834fab4dc5cd8a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999946795883682
623c11636a4d4b66d194c0d2a0ccd1d0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999713965114406
91f8679cd1ca188cfa18a5ed89d4618e	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	0.8670764100085702
167319a8a5ba498b8ed37127aa2d5ab5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999700674544459
c2fbc190698e6e1ff03a4751ac505f36	d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemanella	0.9999467307546888
028fc49c7807edc5e6a74a0419935943	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999968478623429
e51994728762c7072585ccbe20c7e79e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999730200419749
e51a722c01e59626c016dbcd9b54e1ac	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999936051109992
a0ec9824d59b08a685414f1cc08c3613	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999395473636841
4c3adae570e5b6de6b9095b026805d6c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9973215159052999
733f67f664719860e200ce230303a267	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999866916484257
707d1456890492083f59395e0cebd25b	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999980365783987
9c5989f725e7a8c8bd7542d7776666b7	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes	0.9972180346825694
2c0fa6e74e8c637565f8aaff310ee1d3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.9999965975516051
e1d75de5231851ca539f97d53a41a7b1	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999998868112697
bd01962c0e01a9a649504b8e0e39a711	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999994726737828
08a1568ba1eafd494b74dab205b0de4a	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	0.9999916959810976
edb28de192c6a32a71edf3db9b4c6cdc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Segatella	0.9998099790138241
83efcfc783335d0a24c98890a0071ffc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella	0.999999998556973
f949c3d6392f7d23a7cbdb9e8f7180cd	d__Bacteria; p__Bacillota; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.9999999387604352
6f0b528f77b5df5979e15ebe5981f465	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Segatella	0.9986955352766161
